ctrlMSE	score	pMSE	p	BH
protein targeting to vacuole involved in autophagy	72.8030134730416	0.876216845562155	0.0419161676646707	0.00199600798403194	0.958142109940702
positive regulation of receptor catabolic process	74.1808943338637	0.870149722672317	0.105788423153693	0.00199600798403194	0.958142109940702
metanephric part of ureteric bud development	73.371707212	0.864485860447845	0.0978043912175649	0.00998003992015968	0.958142109940702
preganglionic parasympathetic fiber development	72.9244268857096	0.860904973974645	0.0479041916167665	0.0139720558882236	0.958142109940702
branched-chain amino acid biosynthetic process	72.9372323193242	0.860858049286792	0.063872255489022	0.0219560878243513	0.958142109940702
olefin metabolic process	72.9207896958045	0.860849956360842	0.0518962075848303	0.0239520958083832	0.958142109940702
positive regulation of thymocyte migration	72.9399698533825	0.860801171071179	0.0738522954091816	0.0179640718562874	0.958142109940702
glomerular parietal epithelial cell differentiation	72.9873791435457	0.860640323510881	0.0698602794411178	0.0219560878243513	0.958142109940702
endocardium formation	72.9021844321551	0.860548281219476	0.0379241516966068	0.00598802395209581	0.958142109940702
response to UV-A	72.9730323211125	0.860448349941622	0.0459081836327345	0.0119760479041916	0.958142109940702
cellular alkene metabolic process	72.9231694044847	0.860445709385909	0.0578842315369262	0.029940119760479	0.958142109940702
regulation of cardioblast differentiation	72.9808671297835	0.860335959109272	0.0359281437125748	0.00598802395209581	0.958142109940702
positive regulation of cardioblast differentiation	72.9808671297835	0.860335959109272	0.0459081836327345	0.0139720558882236	0.958142109940702
traversing start control point of mitotic cell cycle	72.8505791978136	0.860297268075006	0.0598802395209581	0.0219560878243513	0.958142109940702
chitin metabolic process	72.975742545152	0.860284621056739	0.0578842315369262	0.0259481037924152	0.958142109940702
chitin catabolic process	72.975742545152	0.860284621056739	0.0598802395209581	0.0359281437125748	0.958142109940702
motor neuron axon guidance	72.8623861556069	0.860260928231983	0.0399201596806387	0.0119760479041916	0.958142109940702
negative regulation of t-circle formation	72.8566715869158	0.860229888264477	0.0678642714570858	0.0239520958083832	0.958142109940702
cellular response to UV-A	73.0363472636592	0.860228468125064	0.06187624750499	0.0159680638722555	0.958142109940702
negative regulation of toll-like receptor 2 signaling pathway	73.2155961689421	0.860180713996911	0.0818363273453094	0.0239520958083832	0.958142109940702
trabecular meshwork development	72.971237180377	0.860149753317702	0.0558882235528942	0.0259481037924152	0.958142109940702
intestine smooth muscle contraction	73.4289094033764	0.860106905426275	0.0718562874251497	0.0259481037924152	0.958142109940702
SCF complex assembly	72.8876630466523	0.860087461999577	0.0538922155688623	0.0199600798403194	0.958142109940702
lipid hydroxylation	72.9806645221881	0.860060775365447	0.0459081836327345	0.0119760479041916	0.958142109940702
membrane disruption in other organism	73.7924475463619	0.860043804972019	0.0838323353293413	0.0139720558882236	0.958142109940702
pore formation in membrane of other organism	73.7929827070067	0.860024899602146	0.093812375249501	0.0199600798403194	0.958142109940702
thiamine metabolic process	72.8571447683112	0.860016735910327	0.0558882235528942	0.0159680638722555	0.958142109940702
histone H3-R26 citrullination	73.1328490089442	0.859935528378873	0.0838323353293413	0.0399201596806387	0.958142109940702
histone citrullination	73.1328490089442	0.859935528378873	0.0718562874251497	0.0239520958083832	0.958142109940702
hepatocyte proliferation	72.9545377853987	0.859910778306813	0.0578842315369262	0.031936127744511	0.958142109940702
epithelial cell proliferation involved in liver morphogenesis	72.9545377853987	0.859910778306813	0.0439121756487026	0.0199600798403194	0.958142109940702
liver morphogenesis	72.9545377853987	0.859910778306813	0.0459081836327345	0.0199600798403194	0.958142109940702
detection of chemical stimulus involved in sensory perception of smell	72.9380185840263	0.85989328397435	0.031936127744511	0.0139720558882236	0.958142109940702
regulation of chromatin assembly	72.8733085032017	0.859760494654274	0.0459081836327345	0.0239520958083832	0.958142109940702
regulation of heterochromatin assembly	72.8733085032017	0.859760494654274	0.0558882235528942	0.029940119760479	0.958142109940702
positive regulation of heterochromatin assembly	72.8733085032017	0.859760494654274	0.0578842315369262	0.029940119760479	0.958142109940702
