ctrlMSE	score	pMSE	p	BH
relaxation of muscle	102.633631248602	0.865814752036594	0.2	0.2	1
relaxation of cardiac muscle	102.655271197172	0.864802289207426	0.2	0.2	1
regulation of T-helper 2 cell differentiation	103.047363785234	0.86191821566838	0.2	0.2	1
regulation of IRE1-mediated unfolded protein response	103.482240571092	0.861323678740967	0.2	0.2	1
histone H3-K36 methylation	102.953440028456	0.860158116873556	0.2	0.2	1
protein homotrimerization	103.931200584473	0.859061326897985	0.2	0.2	1
regulation of flagellated sperm motility	103.40671506817	0.858629360579548	0.2	0.2	1
telomeric D-loop disassembly	105.499415161576	0.857703918475797	0.2	0.2	1
regulation of tissue remodeling	103.827742732961	0.857181032317073	0.2	0.2	1
regulation of fatty acid beta-oxidation	103.569061562091	0.855957955318216	0.2	0.2	1
virion attachment to host cell	105.799704819964	0.854837316554278	0.2	0.2	1
adhesion of symbiont to host cell	105.799704819964	0.854837316554278	0.2	0.2	1
very long-chain fatty acid biosynthetic process	103.38634492996	0.854692086980529	0.2	0.2	1
phosphatidylinositol acyl-chain remodeling	106.750808489888	0.854335139054429	0.2	0.2	1
selenocysteine metabolic process	104.49211203244	0.853930148587341	0.2	0.2	1
regulation of mRNA 3'-end processing	103.989082178224	0.853768824159049	0.2	0.2	1
positive regulation of vacuole organization	104.035268858488	0.853655355562207	0.2	0.2	1
regulation of interleukin-2 secretion	103.888478847769	0.853259202173896	0.2	0.2	1
cellular carbohydrate biosynthetic process	104.880362936311	0.85319608273067	0.2	0.2	1
protein localization to juxtaparanode region of axon	104.544411401962	0.852895264835889	0.2	0.2	1
protein localization to axon	104.544411401962	0.852895264835889	0.2	0.2	1
regulation of T-helper 1 cell differentiation	103.617329141808	0.852535358783376	0.2	0.2	1
positive regulation of glycogen biosynthetic process	104.402504192772	0.85242841045338	0.2	0.2	1
negative regulation of peptidyl-lysine acetylation	104.174788983686	0.852403770438769	0.2	0.4	1
negative regulation of microtubule depolymerization	103.775439557661	0.852333725615444	0.2	0.2	1
positive regulation of cytoplasmic transport	106.171432282526	0.85223240721753	0.2	0.2	1
regulation of microtubule depolymerization	103.781892070065	0.852220441912459	0.2	0.2	1
proteasome-mediated ubiquitin-dependent protein catabolic process	104.708686222794	0.852163616851728	0.2	0.2	1
pyrimidine deoxyribonucleotide metabolic process	104.557579365572	0.851781214613607	0.2	0.2	1
positive regulation of histone H4 acetylation	106.548440944037	0.851738165654938	0.2	0.2	1
positive regulation of cytokine production involved in immune response	104.325517797293	0.851703629208947	0.2	0.2	1
peptidyl-tyrosine dephosphorylation	105.305754379206	0.851626414138628	0.2	0.2	1
nose development	104.663378860213	0.851593766628876	0.2	0.2	1
mitochondrial calcium ion transmembrane transport	106.254384835861	0.851571650825979	0.2	0.2	1
positive regulation of intracellular steroid hormone receptor signaling pathway	104.993074034748	0.851343710698258	0.2	0.2	1
negative regulation of centrosome duplication	104.553277295468	0.851341670393988	0.2	0.2	1
long-chain fatty-acyl-CoA biosynthetic process	103.777986337185	0.851333315057695	0.2	0.2	1
otic vesicle development	107.15743345936	0.851240031569443	0.2	0.2	1
regulation of cytokine production involved in immune response	104.062161447881	0.851123085963833	0.2	0.2	1
positive regulation of B cell mediated immunity	106.392845834376	0.850884544348238	0.2	0.2	1
positive regulation of immunoglobulin mediated immune response	106.392845834376	0.850884544348238	0.2	0.2	1
mitochondrion morphogenesis	104.965233820324	0.850611055804489	0.2	0.2	1
regulation of bone remodeling	104.626552435343	0.850536449976468	0.2	0.2	1
regulation of muscle adaptation	104.970857936282	0.85046917405731	0.2	0.2	1
adhesion of symbiont to host	106.715202107082	0.85044369853496	0.2	0.2	1
positive regulation of alpha-beta T cell differentiation	105.250569970235	0.850329819370767	0.2	0.2	1
glycogen biosynthetic process	105.461558300772	0.85023852703838	0.2	0.2	1
glucan biosynthetic process	105.461558300772	0.85023852703838	0.2	0.2	1
neural crest formation	104.259544824564	0.850150602980736	0.2	0.2	1
positive regulation of alpha-beta T cell activation	104.544018980439	0.850140387737353	0.4	0.4	1
negative regulation of platelet activation	104.94086074762	0.850135995172444	0.2	0.2	1
polysaccharide biosynthetic process	105.439516661631	0.849984351705342	0.2	0.2	1
cellular polysaccharide biosynthetic process	105.439516661631	0.849984351705342	0.2	0.2	1
protein autoprocessing	104.044667071498	0.849816922235439	0.2	0.2	1
mammary gland morphogenesis	106.228694132843	0.849151423732373	0.2	0.2	1
regulation of interleukin-5 production	105.562977638911	0.848964306340267	0.2	0.2	1
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	104.477174360528	0.848800966420924	0.2	0.2	1
polysaccharide metabolic process	105.799151668332	0.848794944840858	0.2	0.2	1
cellular glucan metabolic process	105.754476241896	0.848698656565389	0.2	0.2	1
glucan metabolic process	105.754476241896	0.848698656565389	0.2	0.2	1
